answer_id,username,dataID,videoID
60,刘建春,20220929,1005
60,刘建春,20220929,1006
60,刘建春,20220929,1007
60,刘建春,20220929,1008
60,刘建春,20220929,1009
60,刘建春,20220929,1010
60,刘建春,20220929,1011
60,刘建春,20220929,1012
60,刘建春,20220929,1013
60,刘建春,20220929,1014
60,刘建春,20220929,1015
60,刘建春,20220929,1016
60,刘建春,20220929,1017
60,刘建春,20220929,1018
60,刘建春,20220929,1019
60,刘建春,20220929,1020
60,刘建春,20220929,1021
60,刘建春,20220929,1022
60,刘建春,20220929,1023
60,刘建春,20220929,1024
60,刘建春,20220929,1025
60,刘建春,20220929,1026
60,刘建春,20220929,1027
60,刘建春,20220929,1028
60,刘建春,20220929,1029
60,刘建春,20220929,1030
60,刘建春,20220929,1031
60,刘建春,20220929,1032

,刘建春,20220922,


15,陈思宇,20220922,210
15,陈思宇,20220922,211
15,陈思宇,20220922,212
15,陈思宇,20220922,213
15,陈思宇,20220922,214
15,陈思宇,20220922,215
15,陈思宇,20220922,216
15,陈思宇,20220922,217
15,陈思宇,20220922,218
15,陈思宇,20220922,219
15,陈思宇,20220922,220
15,陈思宇,20220922,221
15,陈思宇,20220922,222
15,陈思宇,20220922,223
15,陈思宇,20220922,224

16,陈思宇,20220922,226
16,陈思宇,20220922,227
16,陈思宇,20220922,228
16,陈思宇,20220922,229
16,陈思宇,20220922,230
16,陈思宇,20220922,231
16,陈思宇,20220922,232
16,陈思宇,20220922,233
16,陈思宇,20220922,234
16,陈思宇,20220922,235
16,陈思宇,20220922,236
16,陈思宇,20220922,237
16,陈思宇,20220922,238
16,陈思宇,20220922,239
16,陈思宇,20220922,240

29,陈思宇,20220922,371
29,陈思宇,20220922,372
29,陈思宇,20220922,373
29,陈思宇,20220922,374
29,陈思宇,20220922,375
29,陈思宇,20220922,376
29,陈思宇,20220922,377
29,陈思宇,20220922,378
29,陈思宇,20220922,379
29,陈思宇,20220922,380
29,陈思宇,20220922,381
29,陈思宇,20220922,382
29,陈思宇,20220922,383
29,陈思宇,20220922,384
29,陈思宇,20220922,385


14,李建雄测试,20220922,194
14,李建雄测试,20220922,195
14,李建雄测试,20220922,196
14,李建雄测试,20220922,197
14,李建雄测试,20220922,198
14,李建雄测试,20220922,199
14,李建雄测试,20220922,200
14,李建雄测试,20220922,201
14,李建雄测试,20220922,202
14,李建雄测试,20220922,203
14,李建雄测试,20220922,204
14,李建雄测试,20220922,205
14,李建雄测试,20220922,206
14,李建雄测试,20220922,207
14,李建雄测试,20220922,208

28,李建雄测试,20220922,355
28,李建雄测试,20220922,356
28,李建雄测试,20220922,357
28,李建雄测试,20220922,358
28,李建雄测试,20220922,359
28,李建雄测试,20220922,360
28,李建雄测试,20220922,361
28,李建雄测试,20220922,362
28,李建雄测试,20220922,363
28,李建雄测试,20220922,364
28,李建雄测试,20220922,365
28,李建雄测试,20220922,366
28,李建雄测试,20220922,367
28,李建雄测试,20220922,368
28,李建雄测试,20220922,369


13,王普,20220922,178
13,王普,20220922,179
13,王普,20220922,180
13,王普,20220922,181
13,王普,20220922,182
13,王普,20220922,183
13,王普,20220922,184
13,王普,20220922,185
13,王普,20220922,186
13,王普,20220922,187
13,王普,20220922,188
13,王普,20220922,189
13,王普,20220922,190
13,王普,20220922,191
13,王普,20220922,192


12,周世美,20220922,162
12,周世美,20220922,163
12,周世美,20220922,164
12,周世美,20220922,165
12,周世美,20220922,166
12,周世美,20220922,167
12,周世美,20220922,168
12,周世美,20220922,169
12,周世美,20220922,170
12,周世美,20220922,171
12,周世美,20220922,172
12,周世美,20220922,173
12,周世美,20220922,174
12,周世美,20220922,175
12,周世美,20220922,176

31,周世美,20220923,403
31,周世美,20220923,404
31,周世美,20220923,405
31,周世美,20220923,406
31,周世美,20220923,407
31,周世美,20220923,408
31,周世美,20220923,409
31,周世美,20220923,410
31,周世美,20220923,411
31,周世美,20220923,412
31,周世美,20220923,413
31,周世美,20220923,414
31,周世美,20220923,415
31,周世美,20220923,416
31,周世美,20220923,417


11,贾振鲁,20220922,146
11,贾振鲁,20220922,147
11,贾振鲁,20220922,148
11,贾振鲁,20220922,149
11,贾振鲁,20220922,150
11,贾振鲁,20220922,151
11,贾振鲁,20220922,152
11,贾振鲁,20220922,153
11,贾振鲁,20220922,154
11,贾振鲁,20220922,155
11,贾振鲁,20220922,156
11,贾振鲁,20220922,157
11,贾振鲁,20220922,158
11,贾振鲁,20220922,159
11,贾振鲁,20220922,160

32,贾振鲁,20220923,419
32,贾振鲁,20220923,420
32,贾振鲁,20220923,421
32,贾振鲁,20220923,422
32,贾振鲁,20220923,423
32,贾振鲁,20220923,424
32,贾振鲁,20220923,425
32,贾振鲁,20220923,426
32,贾振鲁,20220923,427
32,贾振鲁,20220923,428
32,贾振鲁,20220923,429
32,贾振鲁,20220923,430
32,贾振鲁,20220923,431
32,贾振鲁,20220923,432
32,贾振鲁,20220923,433


7,09-20,20220921,83
7,09-20,20220921,84
7,09-20,20220921,85
7,09-20,20220921,86
7,09-20,20220921,87
7,09-20,20220921,88
7,09-20,20220921,89
7,09-20,20220921,90
7,09-20,20220921,91
7,09-20,20220921,92
7,09-20,20220921,93
7,09-20,20220921,94
7,09-20,20220921,95
7,09-20,20220921,96
7,09-20,20220921,97

17,09-20,20220922,242
17,09-20,20220922,243
17,09-20,20220922,244
17,09-20,20220922,245
17,09-20,20220922,246
17,09-20,20220922,247
17,09-20,20220922,248
17,09-20,20220922,249
17,09-20,20220922,250
17,09-20,20220922,251
17,09-20,20220922,252
17,09-20,20220922,253
17,09-20,20220922,254
17,09-20,20220922,255
17,09-20,20220922,256

19,09-20,20220922,258
19,09-20,20220922,259
19,09-20,20220922,260
19,09-20,20220922,261
19,09-20,20220922,262
19,09-20,20220922,263
19,09-20,20220922,264
19,09-20,20220922,265
19,09-20,20220922,266
19,09-20,20220922,267
19,09-20,20220922,268
19,09-20,20220922,269
19,09-20,20220922,270
19,09-20,20220922,271
19,09-20,20220922,272

20,09-20,20220922,274
20,09-20,20220922,275
20,09-20,20220922,276
20,09-20,20220922,277
20,09-20,20220922,278
20,09-20,20220922,279
20,09-20,20220922,280
20,09-20,20220922,281
20,09-20,20220922,282
20,09-20,20220922,283
20,09-20,20220922,284
20,09-20,20220922,285
20,09-20,20220922,286
20,09-20,20220922,287
20,09-20,20220922,288

21,09-20,20220922,290
21,09-20,20220922,291
21,09-20,20220922,292
21,09-20,20220922,293
21,09-20,20220922,294
21,09-20,20220922,295
21,09-20,20220922,296
21,09-20,20220922,297
21,09-20,20220922,298
21,09-20,20220922,299
21,09-20,20220922,300
21,09-20,20220922,301
21,09-20,20220922,302
21,09-20,20220922,303
21,09-20,20220922,304

26,09-20,20220922,323
26,09-20,20220922,324
26,09-20,20220922,325
26,09-20,20220922,326
26,09-20,20220922,327
26,09-20,20220922,328
26,09-20,20220922,329
26,09-20,20220922,330
26,09-20,20220922,331
26,09-20,20220922,332
26,09-20,20220922,333
26,09-20,20220922,334
26,09-20,20220922,335
26,09-20,20220922,336
26,09-20,20220922,337


2,wcs测试,20220909,18
2,wcs测试,20220909,19
2,wcs测试,20220909,20
2,wcs测试,20220909,21
2,wcs测试,20220909,22
2,wcs测试,20220909,23
2,wcs测试,20220909,24
2,wcs测试,20220909,25
2,wcs测试,20220909,26
2,wcs测试,20220909,27
2,wcs测试,20220909,28
2,wcs测试,20220909,29
2,wcs测试,20220909,30
2,wcs测试,20220909,31
2,wcs测试,20220909,32

3,wcs测试,20220909,34
3,wcs测试,20220909,35
3,wcs测试,20220909,36
3,wcs测试,20220909,37
3,wcs测试,20220909,38
3,wcs测试,20220909,39
3,wcs测试,20220909,40
3,wcs测试,20220909,41
3,wcs测试,20220909,42
3,wcs测试,20220909,43
3,wcs测试,20220909,44
3,wcs测试,20220909,45
3,wcs测试,20220909,46
3,wcs测试,20220909,47
3,wcs测试,20220909,48

8,wcs测试,20220921,99
8,wcs测试,20220921,100
8,wcs测试,20220921,101
8,wcs测试,20220921,102
8,wcs测试,20220921,103
8,wcs测试,20220921,104
8,wcs测试,20220921,105
8,wcs测试,20220921,106
8,wcs测试,20220921,107
8,wcs测试,20220921,108
8,wcs测试,20220921,109
8,wcs测试,20220921,110
8,wcs测试,20220921,111
8,wcs测试,20220921,112
8,wcs测试,20220921,113

9,wcs测试,20220921,115
9,wcs测试,20220921,116
9,wcs测试,20220921,117
9,wcs测试,20220921,118
9,wcs测试,20220921,119
9,wcs测试,20220921,120
9,wcs测试,20220921,121
9,wcs测试,20220921,122
9,wcs测试,20220921,123
9,wcs测试,20220921,124
9,wcs测试,20220921,125
9,wcs测试,20220921,126
9,wcs测试,20220921,127
9,wcs测试,20220921,128

10,wcs测试,20220922,130
10,wcs测试,20220922,131
10,wcs测试,20220922,132
10,wcs测试,20220922,133
10,wcs测试,20220922,134
10,wcs测试,20220922,135
10,wcs测试,20220922,136
10,wcs测试,20220922,137
10,wcs测试,20220922,138
10,wcs测试,20220922,139
10,wcs测试,20220922,140
10,wcs测试,20220922,141
10,wcs测试,20220922,142
10,wcs测试,20220922,143
10,wcs测试,20220922,144

,wcs测试,20220929,



42,test,20220928,540
42,test,20220928,541
42,test,20220928,542
42,test,20220928,543
42,test,20220928,544
42,test,20220928,545
42,test,20220928,546
42,test,20220928,547
42,test,20220928,548
42,test,20220928,549
42,test,20220928,550
42,test,20220928,551
42,test,20220928,552
42,test,20220928,553
42,test,20220928,554
42,test,20220928,555
42,test,20220928,556
42,test,20220928,557
42,test,20220928,558
42,test,20220928,559
42,test,20220928,560
42,test,20220928,561
42,test,20220928,562
42,test,20220928,563
42,test,20220928,564
42,test,20220928,565
42,test,20220928,566
42,test,20220928,567

43,test,20220928,569
43,test,20220928,570
43,test,20220928,571
43,test,20220928,572
43,test,20220928,573
43,test,20220928,574
43,test,20220928,575
43,test,20220928,576
43,test,20220928,577
43,test,20220928,578
43,test,20220928,579
43,test,20220928,580
43,test,20220928,581
43,test,20220928,582
43,test,20220928,583
43,test,20220928,584
43,test,20220928,585
43,test,20220928,586
43,test,20220928,587
43,test,20220928,588
43,test,20220928,589
43,test,20220928,590
43,test,20220928,591
43,test,20220928,592
43,test,20220928,593
43,test,20220928,594
43,test,20220928,595
43,test,20220928,596

44,test,20220928,598
44,test,20220928,599
44,test,20220928,600
44,test,20220928,601
44,test,20220928,602
44,test,20220928,603
44,test,20220928,604
44,test,20220928,605
44,test,20220928,606
44,test,20220928,607
44,test,20220928,608
44,test,20220928,609
44,test,20220928,610
44,test,20220928,611
44,test,20220928,612
44,test,20220928,613
44,test,20220928,614
44,test,20220928,615
44,test,20220928,616
44,test,20220928,617
44,test,20220928,618
44,test,20220928,619
44,test,20220928,620
44,test,20220928,621
44,test,20220928,622
44,test,20220928,623
44,test,20220928,624
44,test,20220928,625

45,test,20220929,627
45,test,20220929,628
45,test,20220929,629
45,test,20220929,630
45,test,20220929,631
45,test,20220929,632
45,test,20220929,633
45,test,20220929,634
45,test,20220929,635
45,test,20220929,636
45,test,20220929,637
45,test,20220929,638
45,test,20220929,639
45,test,20220929,640
45,test,20220929,641
45,test,20220929,642
45,test,20220929,643
45,test,20220929,644
45,test,20220929,645
45,test,20220929,646
45,test,20220929,647
45,test,20220929,648
45,test,20220929,649
45,test,20220929,650
45,test,20220929,651
45,test,20220929,652
45,test,20220929,653
45,test,20220929,654

47,test,20220929,656
47,test,20220929,657
47,test,20220929,658
47,test,20220929,659
47,test,20220929,660
47,test,20220929,661
47,test,20220929,662
47,test,20220929,663
47,test,20220929,664
47,test,20220929,665
47,test,20220929,666
47,test,20220929,667
47,test,20220929,668
47,test,20220929,669
47,test,20220929,670
47,test,20220929,671
47,test,20220929,672
47,test,20220929,673
47,test,20220929,674
47,test,20220929,675
47,test,20220929,676
47,test,20220929,677
47,test,20220929,678
47,test,20220929,679
47,test,20220929,680
47,test,20220929,681
47,test,20220929,682
47,test,20220929,683

54,test,20220929,831
54,test,20220929,832
54,test,20220929,833
54,test,20220929,834
54,test,20220929,835
54,test,20220929,836
54,test,20220929,837
54,test,20220929,838
54,test,20220929,839
54,test,20220929,840
54,test,20220929,841
54,test,20220929,842
54,test,20220929,843
54,test,20220929,844
54,test,20220929,845
54,test,20220929,846
54,test,20220929,847
54,test,20220929,848
54,test,20220929,849
54,test,20220929,850
54,test,20220929,851
54,test,20220929,852
54,test,20220929,853
54,test,20220929,854
54,test,20220929,855
54,test,20220929,856
54,test,20220929,857
54,test,20220929,858

55,test,20220929,860
55,test,20220929,861
55,test,20220929,862
55,test,20220929,863
55,test,20220929,864
55,test,20220929,865
55,test,20220929,866
55,test,20220929,867
55,test,20220929,868
55,test,20220929,869
55,test,20220929,870
55,test,20220929,871
55,test,20220929,872
55,test,20220929,873
55,test,20220929,874
55,test,20220929,875
55,test,20220929,876
55,test,20220929,877
55,test,20220929,878
55,test,20220929,879
55,test,20220929,880
55,test,20220929,881
55,test,20220929,882
55,test,20220929,883
55,test,20220929,884
55,test,20220929,885
55,test,20220929,886
55,test,20220929,887



65,test,20220929,1094
65,test,20220929,1095
65,test,20220929,1096
65,test,20220929,1097
65,test,20220929,1098
65,test,20220929,1099
65,test,20220929,1100
65,test,20220929,1101
65,test,20220929,1102
65,test,20220929,1103
65,test,20220929,1104
65,test,20220929,1105
65,test,20220929,1106
65,test,20220929,1107
65,test,20220929,1108
65,test,20220929,1109
65,test,20220929,1110
65,test,20220929,1111
65,test,20220929,1112
65,test,20220929,1113
65,test,20220929,1114
65,test,20220929,1115
65,test,20220929,1116
65,test,20220929,1117
65,test,20220929,1118
65,test,20220929,1119
65,test,20220929,1120
65,test,20220929,1121

66,test,20220930,1123
66,test,20220930,1124
66,test,20220930,1125
66,test,20220930,1126
66,test,20220930,1127
66,test,20220930,1128
66,test,20220930,1129
66,test,20220930,1130
66,test,20220930,1131
66,test,20220930,1132
66,test,20220930,1133
66,test,20220930,1134
66,test,20220930,1135
66,test,20220930,1136
66,test,20220930,1137
66,test,20220930,1138
66,test,20220930,1139
66,test,20220930,1140
66,test,20220930,1141
66,test,20220930,1142
66,test,20220930,1143
66,test,20220930,1144
66,test,20220930,1145
66,test,20220930,1146
66,test,20220930,1147
66,test,20220930,1148
66,test,20220930,1149
66,test,20220930,1150



1,叶沛菁,20220909,2
1,叶沛菁,20220909,3
1,叶沛菁,20220909,4
1,叶沛菁,20220909,5
1,叶沛菁,20220909,6
1,叶沛菁,20220909,7
1,叶沛菁,20220909,8
1,叶沛菁,20220909,9
1,叶沛菁,20220909,10
1,叶沛菁,20220909,11
1,叶沛菁,20220909,12
1,叶沛菁,20220909,13
1,叶沛菁,20220909,14
1,叶沛菁,20220909,15
1,叶沛菁,20220909,16




5,test001,20220921,51
5,test001,20220921,52
5,test001,20220921,53
5,test001,20220921,54
5,test001,20220921,55
5,test001,20220921,56
5,test001,20220921,57
5,test001,20220921,58
5,test001,20220921,59
5,test001,20220921,60
5,test001,20220921,61
5,test001,20220921,62
5,test001,20220921,63
5,test001,20220921,64
5,test001,20220921,65

6,test001,20220921,67
6,test001,20220921,68
6,test001,20220921,69
6,test001,20220921,70
6,test001,20220921,71
6,test001,20220921,72
6,test001,20220921,73
6,test001,20220921,74
6,test001,20220921,75
6,test001,20220921,76
6,test001,20220921,77
6,test001,20220921,78
6,test001,20220921,79
6,test001,20220921,80
6,test001,20220921,81

34,test001,20220928,451
34,test001,20220928,452
